,beta,delta,val
177,0.8300000000000001,0.9380000000000001,139980.66642772098
178,0.8300000000000001,0.94,76572.50065088799
179,0.8300000000000001,0.942,38706.22806356675
180,0.8300000000000001,0.944,16247.023594500875
181,0.8300000000000001,0.946,5628.654711739367
182,0.8300000000000001,0.948,2948.079971312384
183,0.8300000000000001,0.95,5166.691515789562
184,0.8300000000000001,0.952,9742.447404800721
185,0.8300000000000001,0.954,16022.059764150908
186,0.8300000000000001,0.956,23496.7354743642
187,0.8300000000000001,0.958,31925.73639654738
188,0.8300000000000001,0.96,40421.649278429206
189,0.8400000000000001,0.92,2424407.1776285945
190,0.8400000000000001,0.922,2055087.664296354
191,0.8400000000000001,0.924,1683963.517161225
192,0.8400000000000001,0.926,1331976.893411389
193,0.8400000000000001,0.928,1025011.8209877507
194,0.8400000000000001,0.93,736487.3573805236
195,0.8400000000000001,0.932,506556.0700193955
196,0.8400000000000001,0.934,333263.4980356883
197,0.8400000000000001,0.936,209629.99964766938
198,0.8400000000000001,0.9380000000000001,118258.64302287388
199,0.8400000000000001,0.94,63902.34653386773
200,0.8400000000000001,0.942,30337.97140404174
201,0.8400000000000001,0.944,11771.90848013786
202,0.8400000000000001,0.946,4177.62964153748
203,0.8400000000000001,0.948,3253.3498992704376
204,0.8400000000000001,0.95,6558.4024010650655
205,0.8400000000000001,0.952,11719.867833271004
206,0.8400000000000001,0.954,18393.59711183029
207,0.8400000000000001,0.956,26300.689985759374
208,0.8400000000000001,0.958,34872.52274837522
209,0.8400000000000001,0.96,43679.77998598974
210,0.85,0.92,2327362.8077621926
211,0.85,0.922,1967599.8705087793
212,0.85,0.924,1593981.4153693744
213,0.85,0.926,1255804.4182281243
214,0.85,0.928,952756.0364154342
215,0.85,0.93,679761.5274547015
216,0.85,0.932,460090.6955559199
217,0.85,0.934,296214.0599191641
218,0.85,0.936,181917.7870878725
219,0.85,0.9380000000000001,100749.96138508132
220,0.85,0.94,52338.99098212669
221,0.85,0.942,23971.633504808466
222,0.85,0.944,8686.581822164422
223,0.85,0.946,3386.349588242466
224,0.85,0.948,4063.9709474229494
225,0.85,0.95,8132.115174669859
226,0.85,0.952,13918.010118047012
227,0.85,0.954,21092.727899423742
228,0.85,0.956,29292.42810582971
229,0.85,0.958,37834.27286359608
230,0.85,0.96,47088.42493164751
231,0.86,0.92,2231739.156123994
232,0.86,0.922,1882155.8994535573
233,0.86,0.924,1510647.252899659
234,0.86,0.926,1186058.5991400452
235,0.86,0.928,883561.3189242986
236,0.86,0.93,622788.3291434248
237,0.86,0.932,418277.35657286755
238,0.86,0.934,264517.3776320609
239,0.86,0.936,157359.85635502718
240,0.86,0.9380000000000001,85698.62993759183
241,0.86,0.94,42565.63026201869
242,0.86,0.942,18159.835418596238
243,0.86,0.944,6383.162927484465
244,0.86,0.946,3226.2912210130835
245,0.86,0.948,5222.45239894498
246,0.86,0.95,10067.942594171178
247,0.86,0.952,16342.99892363273
248,0.86,0.954,23801.59585165666
249,0.86,0.956,32354.706012074734
250,0.86,0.958,40981.065277695176
251,0.86,0.96,51029.87255352463
252,0.87,0.92,2149382.8806186714
253,0.87,0.922,1794143.0323441173
254,0.87,0.924,1430531.5838657499
255,0.87,0.926,1118385.51062931
256,0.87,0.928,818631.6652910826
257,0.87,0.93,573314.4412728958
258,0.87,0.932,378923.5174434314
259,0.87,0.934,235021.02607696014
260,0.87,0.936,135284.74129681164
261,0.87,0.9380000000000001,72688.46743296603
262,0.87,0.94,34579.21045750893
263,0.87,0.942,14050.03445588441
264,0.87,0.944,4939.015369572927
265,0.87,0.946,3547.619172955788
266,0.87,0.948,6677.65205040406
